,Season,Player,Market_Value,Position,Passes,Big Chance Missed,Clearence,CleanSheet,Tackles,Goals,Shoots,Assists,Touches,Minutes
121,2016,César Azpilicueta,0.0,Defender,2459.0,0.0,114.0,15.0,84.0,0.0,0.0,4.0,3037.0,3420.0
122,2015,César Azpilicueta,0.0,Defender,1798.0,0.0,102.0,0.0,114.0,0.0,0.0,0.0,2699.0,0.0
123,2013,César Azpilicueta,0.0,Defender,0.0,0.0,0.0,12.0,98.0,0.0,0.0,0.0,1997.0,0.0
124,2012,César Azpilicueta,0.0,Defender,0.0,0.0,0.0,0.0,69.0,0.0,0.0,4.0,1884.0,0.0
125,2015,Cesc Fàbregas,0.0,Midfielder,2829.0,0.0,0.0,0.0,103.0,5.0,0.0,7.0,3395.0,0.0
126,2014,Cesc Fàbregas,0.0,Midfielder,2743.0,0.0,0.0,10.0,90.0,0.0,0.0,18.0,3398.0,0.0
127,2016,Eden Hazard,0.0,Midfielder,1750.0,9.0,0.0,0.0,0.0,16.0,77.0,5.0,2486.0,3002.0
128,2014,Eden Hazard,0.0,Midfielder,2217.0,0.0,0.0,12.0,0.0,14.0,78.0,9.0,3098.0,0.0
129,2013,Eden Hazard,0.0,Midfielder,1542.0,0.0,0.0,0.0,0.0,14.0,73.0,7.0,2298.0,0.0
130,2012,Eden Hazard,0.0,Midfielder,1523.0,0.0,0.0,0.0,0.0,9.0,63.0,11.0,2095.0,0.0
131,2016,Nemanja Matic,0.0,Midfielder,1865.0,0.0,0.0,14.0,0.0,0.0,0.0,7.0,2249.0,0.0
132,2015,Nemanja Matic,0.0,Midfielder,1607.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,2073.0,0.0
133,2014,Nemanja Matic,0.0,Midfielder,2298.0,0.0,116.0,16.0,129.0,0.0,0.0,0.0,2925.0,0.0
134,2015,Willian,0.0,Midfielder,1500.0,0.0,0.0,0.0,0.0,5.0,60.0,6.0,2229.0,0.0
135,2014,Willian,0.0,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,1866.0,0.0
136,2016,Diego Costa,0.0,Forward,0.0,12.0,0.0,0.0,0.0,20.0,111.0,7.0,0.0,3089.0
137,2016,N'Golo Kanté,0.0,Midfielder,2122.0,0.0,0.0,13.0,127.0,0.0,0.0,0.0,2671.0,3139.0
138,2015,N'Golo Kanté,0.0,Midfielder,1449.0,0.0,0.0,14.0,175.0,0.0,0.0,4.0,2185.0,0.0
139,2016,Marcos Alonso,0.0,Defender,0.0,0.0,0.0,14.0,53.0,6.0,46.0,0.0,2081.0,0.0
140,2016,David Luiz,0.0,Defender,1570.0,0.0,159.0,12.0,0.0,0.0,0.0,0.0,0.0,2956.0
141,2012,David Luiz,0.0,Defender,1515.0,0.0,135.0,13.0,0.0,0.0,56.0,0.0,2002.0,0.0
142,2014,Nathaniel Clyne,0.0,Defender,1503.0,0.0,0.0,13.0,115.0,0.0,0.0,0.0,2478.0,0.0
143,2012,Nathaniel Clyne,0.0,Defender,1329.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,2309.0,0.0
144,2013,Dejan Lovren,0.0,Defender,1625.0,0.0,239.0,12.0,0.0,0.0,0.0,0.0,2155.0,0.0
145,2013,Adam Lallana,0.0,Midfielder,1478.0,0.0,0.0,0.0,0.0,9.0,70.0,6.0,2303.0,0.0
146,2012,Gaël Clichy,0.0,Defender,1311.0,0.0,0.0,11.0,90.0,0.0,0.0,0.0,2072.0,0.0
147,2016,Nicolás Otamendi,0.0,Defender,1945.0,0.0,179.0,0.0,69.0,0.0,0.0,0.0,2440.0,0.0
148,2015,Nicolás Otamendi,0.0,Defender,1569.0,0.0,209.0,11.0,90.0,0.0,0.0,0.0,2122.0,0.0
149,2014,Jesús Navas,0.0,Midfielder,1338.0,0.0,0.0,0.0,0.0,0.0,46.0,8.0,1907.0,0.0
150,2014,Fabian Delph,0.0,Midfielder,1673.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,2194.0,0.0
